iter	Passed	Remaining
0	100	20019
1	117	11615
2	134	8862
3	151	7406
4	165	6456
5	181	5869
6	198	5464
7	209	5027
8	224	4770
9	240	4575
10	254	4379
11	273	4282
12	287	4140
13	303	4031
14	321	3969
15	338	3890
16	353	3806
17	370	3742
18	384	3663
19	401	3611
20	415	3542
21	429	3476
22	443	3415
23	459	3373
24	474	3318
25	487	3265
26	502	3217
27	516	3170
28	535	3154
29	550	3118
30	564	3080
31	580	3047
32	597	3024
33	611	2987
34	626	2951
35	640	2917
36	654	2884
37	671	2863
38	686	2834
39	700	2801
40	714	2771
41	730	2749
42	744	2719
43	760	2696
44	774	2668
45	788	2640
46	802	2613
47	817	2588
48	831	2563
49	846	2539
50	861	2516
51	875	2492
52	890	2468
53	905	2449
54	919	2424
55	933	2400
56	947	2377
57	961	2353
58	975	2331
59	990	2311
60	1006	2292
61	1020	2271
62	1036	2254
63	1051	2233
64	1068	2219
65	1084	2201
66	1098	2180
67	1112	2159
68	1126	2139
69	1143	2122
70	1156	2102
71	1170	2081
72	1185	2062
73	1203	2049
74	1218	2031
75	1233	2012
76	1247	1992
77	1261	1972
78	1275	1953
79	1292	1938
80	1306	1919
81	1323	1904
82	1338	1887
83	1354	1870
84	1370	1854
85	1384	1835
86	1398	1816
87	1412	1798
88	1426	1779
89	1447	1768
90	1468	1758
91	1485	1744
92	1499	1725
93	1515	1709
94	1530	1691
95	1547	1676
96	1563	1659
97	1579	1643
98	1593	1625
99	1606	1606
100	1621	1589
101	1635	1570
102	1648	1552
103	1664	1536
104	1678	1518
105	1691	1500
106	1705	1482
107	1719	1464
108	1733	1447
109	1748	1430
110	1762	1413
111	1779	1398
112	1793	1381
113	1807	1363
114	1822	1346
115	1838	1331
116	1856	1317
117	1871	1300
118	1885	1283
119	1900	1267
120	1915	1250
121	1933	1236
122	1947	1219
123	1961	1202
124	1976	1185
125	1994	1171
126	2008	1154
127	2023	1138
128	2037	1121
129	2053	1105
130	2067	1089
131	2081	1072
132	2094	1055
133	2108	1038
134	2125	1023
135	2141	1007
136	2155	991
137	2172	976
138	2187	959
139	2202	943
140	2216	927
141	2232	911
142	2247	895
143	2263	880
144	2277	863
145	2292	847
146	2310	832
147	2325	816
148	2340	801
149	2354	784
150	2369	768
151	2386	753
152	2401	737
153	2415	721
154	2429	705
155	2444	689
156	2458	673
157	2476	658
158	2491	642
159	2505	626
160	2521	610
161	2535	594
162	2549	578
163	2566	563
164	2581	547
165	2595	531
166	2609	515
167	2625	500
168	2639	484
169	2654	468
170	2668	452
171	2683	436
172	2697	421
173	2714	405
174	2728	389
175	2742	374
176	2756	358
177	2770	342
178	2784	326
179	2798	310
180	2811	295
181	2826	279
182	2841	263
183	2855	248
184	2870	232
185	2886	217
186	2900	201
187	2916	186
188	2931	170
189	2947	155
190	2961	139
191	2977	124
192	2991	108
193	3005	92
194	3019	77
195	3033	61
196	3047	46
197	3064	30
198	3078	15
199	3094	0
