iter	RMSE
0	0.3769329139
1	0.3543236649
2	0.3332792735
3	0.3131658132
4	0.2955955574
5	0.280278914
6	0.2672708551
7	0.2542689068
8	0.2437496149
9	0.2330461384
10	0.2243254966
11	0.216353819
12	0.2091214027
13	0.2027158233
14	0.1972350084
15	0.191579119
16	0.1860764295
17	0.1818023787
18	0.1774248906
19	0.1737322076
20	0.1703632234
21	0.1673952443
22	0.1643566261
23	0.1620242982
24	0.1599469245
25	0.1576450697
26	0.1558590422
27	0.1543612983
28	0.1532197834
29	0.1516245162
30	0.150333381
31	0.1493285331
32	0.1483130709
33	0.1473847477
34	0.1466465244
35	0.1455257686
36	0.1447214211
37	0.1440091551
38	0.1433080494
39	0.1426701437
40	0.1417245078
41	0.1410500489
42	0.1405136268
43	0.1399934952
44	0.1396438013
45	0.1391445451
46	0.1384113848
47	0.1376822176
48	0.137311037
49	0.1368669433
50	0.1363469713
51	0.1360033121
52	0.1357694539
53	0.1353610091
54	0.1351481225
55	0.1349318242
56	0.134746811
57	0.1344492482
58	0.1340026874
59	0.1336743606
60	0.1331275079
61	0.1328390975
62	0.1326056543
63	0.1322618514
64	0.1319032146
65	0.131606734
66	0.1312176181
67	0.1309875937
68	0.130680623
69	0.1302703464
70	0.1300505761
71	0.1298088444
72	0.1295584451
73	0.1292422611
74	0.1288803634
75	0.1288452741
76	0.1287211585
77	0.128468361
78	0.128253831
79	0.1280726963
80	0.1278357549
81	0.1275974462
82	0.127319285
83	0.1270962829
84	0.1267964163
85	0.1265972873
86	0.126190219
87	0.1259385943
88	0.1256615737
89	0.1252985487
90	0.1251124435
91	0.1249424853
92	0.1247100877
93	0.1244961917
94	0.1241568504
95	0.1240244742
96	0.1237821202
97	0.1236349719
98	0.1234816886
99	0.1231706642
100	0.1229345325
101	0.1228329639
102	0.1225294813
103	0.1223158485
104	0.1219964643
105	0.1218905999
106	0.1217418772
107	0.1215291338
108	0.1213467305
109	0.121264663
110	0.1211355537
111	0.1210540799
112	0.1209462248
113	0.1208181452
114	0.1205969318
115	0.1203480874
116	0.1201509408
117	0.1201099853
118	0.1200421686
119	0.1198802711
120	0.1197136428
121	0.1194975245
122	0.119339233
123	0.1192537505
124	0.1191820862
125	0.1189576323
126	0.1187038713
127	0.1185096257
128	0.1182954252
129	0.1181594696
130	0.1180145291
131	0.1179371993
132	0.1179160188
133	0.1178175517
134	0.1177647604
135	0.1176267982
136	0.1175824107
137	0.1175159901
138	0.1174231081
139	0.1171188568
140	0.1170054669
141	0.1168355972
142	0.1167666681
143	0.1165204658
144	0.1164677151
145	0.1161474723
146	0.1160886216
147	0.1159795324
148	0.1158309419
149	0.11572758
150	0.1155938291
151	0.1155525053
152	0.1152830613
153	0.1151973675
154	0.11502222
155	0.1148299182
156	0.114815376
157	0.1146469333
158	0.1144942848
159	0.1142547543
160	0.1141324579
161	0.1139220752
162	0.113747951
163	0.1136525422
164	0.1135238277
165	0.1134916918
166	0.1133546321
167	0.1132063771
168	0.1129235814
169	0.1127665629
170	0.1126257662
171	0.1125696415
172	0.1124091641
173	0.1123721406
174	0.1123320437
175	0.112156287
176	0.1120972477
177	0.1119959762
178	0.1119516547
179	0.111912047
180	0.1118725495
181	0.1118354408
182	0.1118007724
183	0.1117207155
184	0.1116646688
185	0.1116165186
186	0.1115126488
187	0.1113718258
188	0.1113454638
189	0.1112985579
190	0.1112666805
191	0.1112493575
192	0.1111721587
193	0.1110532566
194	0.1110091537
195	0.1109844283
196	0.1108987874
197	0.1108697325
198	0.1107829009
199	0.1106877679
