iter	Passed	Remaining
0	207	41302
1	230	22864
2	253	16651
3	276	13551
4	299	11671
5	342	11082
6	365	10077
7	383	9202
8	407	8637
9	429	8167
10	452	7775
11	475	7445
12	497	7158
13	519	6905
14	542	6696
15	566	6510
16	588	6335
17	610	6172
18	633	6031
19	655	5895
20	677	5774
21	699	5663
22	722	5558
23	757	5556
24	779	5459
25	801	5367
26	824	5281
27	846	5197
28	868	5120
29	890	5048
30	913	4978
31	935	4910
32	971	4914
33	1012	4941
34	1035	4881
35	1058	4824
36	1082	4766
37	1106	4715
38	1128	4659
39	1150	4602
40	1172	4547
41	1201	4519
42	1223	4468
43	1245	4417
44	1268	4367
45	1301	4356
46	1323	4308
47	1354	4289
48	1377	4244
49	1399	4198
50	1421	4152
51	1456	4144
52	1478	4099
53	1513	4091
54	1535	4048
55	1558	4008
56	1581	3966
57	1615	3954
58	1637	3914
59	1670	3896
60	1692	3856
61	1715	3819
62	1738	3780
63	1760	3741
64	1783	3703
65	1813	3682
66	1836	3644
67	1867	3624
68	1889	3587
69	1913	3553
70	1936	3518
71	1959	3483
72	1981	3447
73	2012	3427
74	2035	3392
75	2058	3358
76	2080	3322
77	2102	3288
78	2124	3254
79	2150	3225
80	2172	3191
81	2196	3160
82	2218	3126
83	2257	3117
84	2280	3085
85	2334	3094
86	2356	3060
87	2381	3030
88	2403	2997
89	2434	2975
90	2457	2943
91	2496	2930
92	2518	2897
93	2540	2865
94	2563	2833
95	2586	2802
96	2609	2770
97	2633	2740
98	2655	2708
99	2677	2677
100	2699	2646
101	2732	2625
102	2755	2594
103	2782	2568
104	2804	2537
105	2832	2511
106	2854	2480
107	2876	2449
108	2898	2419
109	2920	2389
110	2942	2359
111	2965	2329
112	2987	2300
113	3009	2270
114	3033	2242
115	3056	2213
116	3078	2183
117	3112	2163
118	3136	2134
119	3170	2113
120	3192	2084
121	3231	2065
122	3253	2037
123	3275	2007
124	3298	1979
125	3331	1956
126	3353	1927
127	3374	1898
128	3396	1869
129	3430	1847
130	3454	1819
131	3477	1791
132	3500	1763
133	3524	1735
134	3547	1707
135	3568	1679
136	3592	1652
137	3614	1624
138	3636	1596
139	3660	1568
140	3682	1541
141	3729	1523
142	3751	1495
143	3773	1467
144	3795	1439
145	3817	1411
146	3839	1384
147	3875	1361
148	3897	1334
149	3928	1309
150	3951	1282
151	3973	1254
152	3995	1227
153	4028	1203
154	4051	1176
155	4073	1148
156	4095	1121
157	4116	1094
158	4138	1067
159	4174	1043
160	4196	1016
161	4218	989
162	4240	962
163	4274	938
164	4296	911
165	4327	886
166	4349	859
167	4373	833
168	4396	806
169	4427	781
170	4450	754
171	4473	728
172	4495	701
173	4527	676
174	4549	649
175	4571	623
176	4594	596
177	4616	570
178	4638	544
179	4660	517
180	4682	491
181	4720	466
182	4742	440
183	4764	414
184	4787	388
185	4825	363
186	4847	337
187	4872	310
188	4893	284
189	4920	258
190	4942	232
191	4964	206
192	4986	180
193	5008	154
194	5030	128
195	5053	103
196	5075	77
197	5102	51
198	5124	25
199	5146	0
